HarrisonFrazar 65.50000  1
DavisLoveIII 66.25000  1
FrankLickliter 66.50000  1
BrinyBaird 66.75000  1
JerryKelly 66.75000  1
JohnRiegger 67.00000  1
StephenAmes 67.25000  1
CraigBarlow 67.25000  1
PaulAzinger 67.50000  1
RetiefGoosen 67.50000  1
JohnHuston 67.50000  1
VijaySingh 67.50000  1
OmarUresti 67.50000  1
AaronBaddeley 67.75000  1
CraigBowden 67.75000  1
BrendenPappas 67.75000  1
JesperParnevik 67.75000  1
BoVanPelt 67.75000  1
MichaelAllen 68.00000  1
LukeDonald 68.00000  1
JoeDurant 68.00000  1
CarlosFranco 68.00000  1
ShaunMicheel 68.00000  1
CoreyPavin 68.00000  1
ChrisRiley 68.00000  1
StephenAllan 68.25000  1
CameronBeckman 68.25000  1
RobertGamez 68.25000  1
CharlesHowellIII 68.25000  1
JonathanByrd 68.50000  1
BenCrane 68.50000  1
MarkHensby 68.50000  1
TimHerron 68.50000  1
PatPerez 68.50000  1
D.J.Brigman 68.75000  1
BartBryant 68.75000  1
FredFunk 68.75000  1
BrianGay 68.75000  1
DuffyWaldorf 68.75000  1
TommyArmourIII 69.00000  1
PatBates 69.00000  1
JasonDufner 69.00000  1
BrentGeiberger 69.00000  1
JohnMaginnes 69.00000  1
ShigekiMaruyama 69.00000  1
KevinNa 69.00000  1
OlinBrowne 69.25000  1
RussCochran 69.25000  1
PeterJacobsen 69.25000  1
TedPurdy 69.25000  1
HidetoTanihara 69.25000  1
TjaartvanderWalt 69.25000  1
DannyBriggs 69.50000  1
JonathanKaye 69.50000  1
KenichiKuboya 69.50000  1
RodPampling 69.50000  1
AndreStolz 69.50000  1
BobBurns 69.75000  1
KenDuke 69.75000  1
DavidIshii 69.75000  1
TomLehman 69.75000  1
ScottSimpson 69.75000  1
ArjunAtwal 70.00000  1
WoodyAustin 70.00000  1
JasonBohn 70.00000  1
ToddFischer 70.00000  1
LucasGlover 70.00000  1
RichardS.Johnson 70.00000  1
BobbyKalinowski 70.00000  1
BradLardon 70.00000  1
JoeOgilvie 70.00000  1
