500.0,500.0
245,189,304,189
304,189,304,256
304,256,245,256
245,256,245,230
245,230,244,230
244,230,244,256
244,256,244,256
244,256,244,257
244,257,304,257
304,257,304,257
304,257,305,257
305,257,305,257
305,257,305,256
305,256,305,256
305,256,305,188
305,188,304,188
304,188,304,188
304,188,245,188
245,188,245,188
245,188,244,188
244,188,244,188
244,188,244,210
244,210,245,210
245,210,245,189
245,189,245,189
319,328,282,328
282,328,282,329
282,329,319,329
319,329,319,387
319,387,226,387
226,387,226,328
226,328,256,328
256,328,256,327
256,327,225,327
225,327,225,328
225,328,225,328
225,328,225,388
225,388,225,388
225,388,226,388
226,388,226,388
226,388,319,388
319,388,319,388
319,388,320,388
320,388,320,329
320,329,320,329
320,329,320,328
320,328,320,328
320,328,319,328
319,328,319,328
